대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
data-science,Apache Spark,【한글자막】 스파크 스트리밍과 Scala 로 빅 데이터 스트리밍하기 (실전편),모든 수준,"17,000",69000,6.5시간 주문형 동영상,"배울 내용
스파크스트리밍을 사용하여 실시간 대용량 데이터를 스트림 처리합니다
카프카, 플룸, 키네시스와 같은 데이터 소스를 스파크스트리밍을 이용하여 통합합니다
구조화된 스파크 2의 스트리밍 응용 프로그램 인터페이스를 사용합니다
스칼라 프로그래밍 언어를 사용하여 스파크 응용 프로그램을 만듭니다
출력된 결과는 실시간 데이터를 카산드라 또는 파일 시스템으로 변환시킨 것을 배웁니다
스파크 스트리밍을 스파크 구조화 질의어와 통합하여 실시간으로 스트리밍 데이터를 질문합니다
스트리밍 데이터를 사용하여 실시간 교육에 사용하고 머신러닝 모델을 가르쳐서 실시간 예측에 이용합니다
아파치 로그 액세스 데이터를 수집하고 스트림을 변환합니다
더 보기",한국어,https://www.udemy.com/course/best-scala/
data-science,Python,파이썬(Python) 실무 데이터 분석 프로젝트 - 머신러닝 with 사이킷런(scikit-learn),중급자,"69,000",,10.5시간 주문형 동영상,"배울 내용
파이썬 핵심 패키지 정리를 통한 데이터 분석과 데이터 시각화 진행
머신러닝의 지도학습과 비지도학습, 강화학습의 개념과 차이 이해
파이썬 머신러닝 패키지 사이킷런에 대한 이해와 프레임워크 정리
실전 사례와 사이킷런 실습을 통한 알고리즘의 핵심 이해",한국어,https://www.udemy.com/course/maso-ds-python-onc33/
data-science,Financial Analysis,【한글자막】 재무 분석을 위한 Python 및 Machine Learning 완벽가이드,모든 수준,"17,000",79000,23시간 주문형 동영상,"배울 내용
금융에 초점을 맞춘 데이터 과학과 머신 러닝을 위한 파이썬 3 프로그래밍을 마스터하게 됩니다.
파이썬의 강력한 기능을 이용해 일일 포트폴리오 수익률, 리스크 및 샤프 비율 계산과 같은 주요 재무 개념을 활용하는 방법을 배우게 됩니다.
CAPM(자본 자산 가격 모델)에 대한 이론을 이해하고 직관을 가질 수 있습니다.
주피터 노트북을 활용한 데이터 사이언스의 개발, 발표, 공유 방법을 이해할 수 있습니다.
과학 컴퓨팅에 Numpy, 데이터 분석에 Pandas, 데이터 플로팅, 시각화를 위한 Matplotlib, 그리고 통계그림을 위한 Seaborn 등 주요 파이썬 라이브러리 활용법을 배웁니다.
실제 데이터세트를 활용해 싸이킷런 라이브러리를 이용한 머신러닝 모델 구축, 교육, 및 튜닝을 마스터합니다.
주가 예측, 보안 뉴스 감성 분석, 신용카드 사기 탐지, 은행 고객 세분화, 대출 채무 불이행 예측 등 은행과 금융 분야의 실질적인 문제 해결을 위한 머신, 딥러닝 모델을 적용해봅니다.
회귀 작업(단순/다중/다항식), 분류 및 클러스터링(K 평균)에 대한 다양한 기계 학습 알고리즘의 이론을 이해하고 직관을 키웁니다.
더 보기",한국어,https://www.udemy.com/course/best-python-mi-financial-analysis/
data-science,TensorFlow,TensorFlow로 배우는 심층 강화학습 입문 - Deep Reinforcement Learning,중급자,"88,000",,5.5시간 주문형 동영상,"배울 내용
심층 강화학습(Deep Reinforcement Learning)의 기초와 원리
기본 DQN과 Double Q-Learning, Duel Q-Learning, Prioritized Experience Replay(PER) 최신 논문에서 제안된 심화 DQN 기법
Vanila Policy Gradient(REINFORCE) 기법과 Actor-Critic Method 심화 Policy Gradient 기법(Proximal Policy Optimization[PPO])
TensorFlow를 이용한 최신 심층 강화학습(Deep Reinforcement Learning) 기법 구현 방법",한국어,https://www.udemy.com/course/tensorflow-deep-reinforcement-learning/
data-science,Python,【한글자막】 Python 의 모든 것: 실전 문제로 배우는 파이썬,모든 수준,"17,000",79000,11시간 주문형 동영상,"배울 내용
파이썬 상에서 프로그래밍하는 법
Jupyter Notebook 상에서 코드 완성하는 법
프로그래밍의 핵심 원리
변수 생성하는 법
정수형, 실수형, 논리연산, 문자열 등의 파이썬 데이터 타입
while 루프 및 for 루프 생성하는 법
파이썬 패키지 설치법
큰 수의 법칙에 대한 이해",한국어,https://www.udemy.com/course/best-python-data-science/
data-science,TensorFlow,GPT 논문 구현으로 배우는 딥러닝 논문 구현 with TensorFlow 2.0 Part 1,전문가,"119,000",,4.5시간 주문형 동영상,"배울 내용
딥러닝 논문 읽는 법
딥러닝 논문 구현하는 법
GPT(Generative Pre-trained Transformer) 모델 구조에 대한 디테일한 이해
GPT(Generative Pre-trained Transformer) 모델에 대한 배경지식
TensorFlow 2.0을 이용한 코드 작성법",한국어,https://www.udemy.com/course/gpt-transformer-implementation-tensorflow-part1/
data-science,R (programming language),R로 배우는 데이터 분석 첫 걸음,초급자,"99,000",,14.5시간 주문형 동영상,"배울 내용
R의 기초부터 데이터에서 인사이트를 얻을 수 있는 통계 기법까지 학습
비전공자도 이해할 수 있도록 쉽게 설명
다양한 예제와 실습을 기반으로 다양한 데이터셋을 분석하고 결과 해석
모든 예제에 제공되는 코드로 반복 연습이 가능",한국어,https://www.udemy.com/course/maso-ds-r-onc2006/
data-science,ChatGPT,모두를 위한 ChatGPT Part 3 - ChatGPT로 퀀트 투자 전략 만들기,초급자,"49,000",,3.5시간 주문형 동영상,"배울 내용
ChatGPT를 이용해서 퀀트투자 전략을 만드는 방법
다양한 퀀트 투자 전략(변동성 돌파전략, 듀얼모멘텀 전략, 올웨더 전략)
주식 데이터를 수집하고 분석하는 방법
투자 아이디어를 백테스트로 검증하는 방법",한국어,https://www.udemy.com/course/quant-investment-using-chatgpt-part3/
data-science,ChatGPT,찍어먹도록! 쉽게 이해하는 ChatGPT(AI),초급자,"17,000",23000,2.5시간 주문형 동영상,"배울 내용
ChatGPT를 업무에 활용하는 방법을 이해하게 됩니다.
ChatGPT와 스프레드시트로 만드는 업무 자동화 맛보기
ChatGPT와 비즈니스의 미래에 대해 엿볼 수 있습니다.
ChatGPT(AI)의 작동방식을 알게 됩니다.",한국어,https://www.udemy.com/course/withchatgpt/
data-science,Bitcoin Trading,비트코인 암호화폐 자동매매 코인봇 만들기 Part 1 - 무위험 전략 학습하기,초급자,"219,000",,11시간 주문형 동영상,"배울 내용
암호화폐 자동 매매 코인봇 만들기 (거래소 API 사용법 기초부터 AWS를 이용한 배포까지)
기초 투자 전략 (변동성 돌파 전략 등)
암호화폐 시장의 구조적 특성을 이용한 연 10% 내외의 무위험 수익을 얻을 수 있는 투자전략 (김치 프리미엄 이용 등)
투자 전략 개발 방법론",한국어,https://www.udemy.com/course/bitcoin-crypto-trading-bot-part-1/
