대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
software-engineering,Algorithms,Introduction to Algorithmic Design and Analysis,초급자,,,,,영어,https://www.udemy.com/course/introduction-to-algorithmic-design-and-analysis/
software-engineering,PyTorch,Pytorch Essentials,초급자,,,,,영어,https://www.udemy.com/course/pytorch-essentials/
software-engineering,Data Structures,Learning Stack data structure [Java],모든 수준,,,,,영어,https://www.udemy.com/course/stack-data-structure/
software-engineering,Kubernetes,Hands On Kubernetes | Weekend Project Series for Kubernetes,중급자,,,,,영어,https://www.udemy.com/course/kubernetes-on-weekends/
software-engineering,Programming Fundamentals,Interview Starters : Python,모든 수준,,,,,영어,https://www.udemy.com/course/coding-interviews-frequently-asked-questions/
software-engineering,Software Design,Design ur code: All Steps before you start writing your code,초급자,,,,,영어,https://www.udemy.com/course/design-your-code-all-steps-before-you-start-writing-your-code-faster/
software-engineering,Computer Skills,Programação para Leigos e informática do básico ao avançado,초급자,,,18시간 주문형 동영상,"배울 내용
Você aprenderá uma base sólida com uma visão geral sobre a informática voltada para a computação
Você dará seus primeiros passos no mundo da programação de sistemas.
Você será capaz de ir para a próxima fase, seja ela de desenvolvimento web, mobile, games e etc.
Você se sentirá confortável com os conceitos de informática essenciais para quem quer trabalhar na área.",포르투갈어,https://www.udemy.com/course/programacao-para-leigos/
software-engineering,Scrum,"Fundamentos de SCRUM, metodología ágil gestión de proyectos",모든 수준,,,1시간 주문형 동영상,"배울 내용
aprenderás SCRUM
metodología de desarrollo ágil
aprenderás a la gestión de proyectos de software, mantenimientos y procesos.",스페인어,https://www.udemy.com/course/fundamentos-de-scrum-metodologia-agil-gestion-de-proyectos/
software-engineering,UML,Modelagem de Dados UML (Análise&Projeto Orientado a Objetos),모든 수준,,,13시간 주문형 동영상,"배울 내용
Ao final do curso o aluno será capaz de modelar os dados de um sistema usando UML como ferramenta",포르투갈어,https://www.udemy.com/course/uml-diagrama-de-classes/
software-engineering,Software Practices,Patrones de diseño de software y principios SOLID.,모든 수준,,,4시간 주문형 동영상,"배울 내용
Crear aplicaciones con los mayores estándares de calidad en flexibilidad, mantenibilidad y elegancia.
Dominar el uso de la encapsulación y la composición para construir soluciones sencillas a problemas complejos
Identificar situaciones donde el uso de la herencia es peligroso
Entender las ideas de los textos clásicos de Erich Gamma, Robert C. Martin, Bertrand Meyer ...",스페인어,https://www.udemy.com/course/patrones-de-diseno-y-principios-solid/
software-engineering,Scrum,Análise de Requisitos de Software com Histórias de Usuários,모든 수준,,,3시간 주문형 동영상,"배울 내용
Mapear Histórias de Usuário de forma eficiente
Levantar Requisitos utilizando Example Mapping
Melhorar seu Gerenciamento de Projetos
Saber como utilizar uma das técnicas mais utilizadas no mundo das Metodologias Ágeis",포르투갈어,https://www.udemy.com/course/aprenda-a-mapear-requisitos-solidos-com-historias-de-usuario/
software-engineering,PLC,Aprenda Programação de CLP do zero (Atualizado 2021) + Ebook,초급자,,,3.5시간 주문형 동영상,"배울 내용
Entenda como um Controlador Lógico Programável funciona.
Compreenda diagramas escritos na Linguagem Ladder.
Crie lógicas de programação para CLP.
Faça projetos de Automação Residencial com CLP.
Faça projetos de Automação Industrial com CLP.",포르투갈어,https://www.udemy.com/course/aprenda-programacao-de-clp-do-zero/
software-engineering,TDD Test Driven Development,"NodeJs, Typescript, TDD, DDD, Clean Architecture e SOLID",중급자,,,47.5시간 주문형 동영상,"배울 내용
Usar TDD da forma correta
Usar o Clean Architecture em uma API feita em NodeJs
Usar Design Patterns da forma correta
Usar os princípios do SOLID
Criar uma API REST completa em NodeJs com Typescript
Usar Git da forma correta
Usar Docker
Publicar uma API feita em NodeJs com Typescript
Criar uma API completa com Login, cadastro e um sistema de enquete
Usar Integração Contínua
Usar Middleware com permissão de acesso
Usar recursos avançados do Typescript como Utility Types, Interface, TypeAlias, Modularização de Paths
더 보기",포르투갈어,https://www.udemy.com/course/tdd-com-mango/
software-engineering,C (programming language),C Komplettkurs: Praxisnahe Programmierung für Einsteiger,모든 수준,,,17시간 주문형 동영상,"배울 내용
Erlerne die Grundkonzepte der C Programmierung
Verstehe woraus ein Computerprogramm besteht
Verwende Arrays und Strukturen
Arbeite effektiv mit Variablen und Daten
Verstehe die Logik hinter Pointern
Arbeite mit Dateien und Zahlensystemen",독일어,https://www.udemy.com/course/c-programmierung-praxisnaher-komplettkurs-fur-einsteiger/
software-engineering,Blockchain,現役シリコンバレーエンジニアが教えるPythonで始めるスクラッチからのブロックチェーン開発入門,중급자,,,4.5시간 주문형 동영상,"배울 내용
ブロックチェーンの仕組みを理解することができます。
Pythonを使ったブロックチェーンの基本となる開発を学べます
ブロックチェーンのトランザクションの認証を理解することできます。
ブロックチェーンを繋げるハッシュの仕組みができます。
プロックチェーンのマイニングでのナンスを導き出すコンセンサスアルゴリズムが理解できます。
ブロックチェーンの分散された合意形成のコンセンサスの仕組みが理解できます。
仮想通貨の送受信の仕組みが理解できます。",일본어,https://www.udemy.com/course/python-blockchain/
software-engineering,UML,UML - Guia Básico para Análise e Projeto de Sistemas,초급자,,,5시간 주문형 동영상,"배울 내용
Entender e saber trabalhar com os principais diagramas UML.
Aprender a trabalhar com a ferramenta ArgoUML.
Analisar e criar projetos de software fazendo uso dos recursos oferecidos pela UML.",포르투갈어,https://www.udemy.com/course/diagramas-uml-analise-e-projeto-de-sistemas/
software-engineering,Software Architecture,"Arquitectura Software Moderna: DDD, Eventos, Microservicios",모든 수준,,,4.5시간 주문형 동영상,"배울 내용
Conoce las alternativas modernas para organizar la arquitectura de tu sistema adaptándote a tus necesidades.
Domain Driven Design (DDD).
Command Query Responsibility Segregation (CQRS).
Eventos: Event Sourcing, Event Driven Programming y Event Driven Architecture.
Arquitectura orientada a Microservicios.
Arquitectura Hexagonal y Arquitectura de Microkernel.
Cómo testear correctamente todo tu sistema: Arquitecturas Testables.",스페인어,https://www.udemy.com/course/arquitectura-software-moderna-ddd-eventos-microservicios-cqrs/
